Depth,RxoRt,RLL3,SP,RILD,MN,MI,MCAL,DCAL,RHOB,RHOC,DPOR,CNLS,GR
195,226.0848,0.4076,69.8953,132.5052,-0.3548,0.1863,5.109,1.8878,1.6973,-0.6303,59.2216,30.0657,60.4576
195.5,223.5031,0.4063,69.2303,123.6225,-0.3619,0.1867,5.1031,1.8882,1.6791,-0.6409,60.2877,26.7625,54.1495
196,221.456,0.4047,68.4478,116.9258,-0.3668,0.186,5.0872,1.8878,1.6585,-0.6539,61.4914,27.6017,51.9944
196.5,219.8248,0.4033,67.4843,111.7925,-0.3613,0.1867,5.0881,1.8884,1.6435,-0.6649,62.3711,31.587,52.9645
197,218.1438,0.4023,66.3013,106.7821,-0.3569,0.187,5.0972,1.8883,1.639,-0.6705,62.6343,35.8251,54.9659
197.5,216.4424,0.4011,64.8979,101.9883,-0.3565,0.1867,5.1076,1.8888,1.6457,-0.6681,62.2407,37.5462,57.7954
198,214.9961,0.4004,63.3172,98.0992,-0.3577,0.1863,5.0938,1.889,1.6586,-0.6587,61.4837,36.9573,61.2204
198.5,213.6405,0.3999,61.6504,94.6215,-0.3591,0.1844,5.0948,1.8872,1.6702,-0.6479,60.8086,36.0561,62.4314
199,212.1654,0.3997,60.0294,91.0034,-0.3598,0.1834,5.0899,1.8864,1.6773,-0.6405,60.392,35.6943,62.7024
199.5,210.7139,0.3997,58.601,87.5514,-0.3593,0.1832,5.1075,1.8876,1.682,-0.6377,60.1187,36.0666,64.5399
200,209.4601,0.3986,57.4849,84.6118,-0.3584,0.1826,5.0939,1.8878,1.6848,-0.6388,59.956,35.5057,67.4561
200.5,208.5663,0.3967,56.7338,82.505,-0.3593,0.1815,5.0924,1.8891,1.6841,-0.6424,59.9951,34.8493,73.0172
201,208.0008,0.396,56.3148,81.1606,-0.362,0.1796,5.0875,1.8896,1.6815,-0.6458,60.1444,36.8401,78.648
201.5,207.3377,0.3955,56.1218,79.7185,-0.3686,0.1773,5.1053,1.8897,1.6823,-0.6456,60.098,39.0173,79.1451
202,206.6565,0.395,56.0101,78.3685,-0.3846,0.1753,5.0899,1.8897,1.6902,-0.6407,59.6378,38.5576,76.7152
202.5,206.4329,0.3966,55.8377,78.0349,-0.3959,0.1736,5.0851,1.8894,1.7033,-0.6325,58.8734,36.2622,73.5098
203,206.4064,0.3983,55.4962,78.1252,-0.3904,0.1713,5.1027,1.8888,1.7144,-0.6253,58.2211,33.6916,69.5443
203.5,206.2224,0.3986,54.9207,77.8754,-0.3835,0.1691,5.0988,1.8893,1.717,-0.6235,58.0686,32.4798,66.3888
204,206.3351,0.3985,54.0827,78.1823,-0.3774,0.1676,5.0913,1.8889,1.7115,-0.6285,58.3939,32.1598,65.4367
