API_Num,Surf_Lat,Surf_Lon,Shale_Thk,Base_Shale,Log_Bot,Gross_H,Net_Sand,Total_Por,Water_Dep,Domain
1.77E+13,28.162429,-91.193668,77,2339.03,3693,1353.97,783.2,0.314,311,9
1.77E+13,29.0085117,-90.5273858,114,10951.92,11127.4,175.48,99,0.312,32,6
6.08E+13,28.1636497,-90.3588473,92,8993.03,13552.2,4559.17,2551,0.423,481,4
6.08E+13,28.2569712,-89.2737479,85,14937.08,15034.49,97.41,54,0.32,2799,2
1.77E+13,29.0827158,-92.37051,101,1035.73,6880.2,5844.47,3134,0.33,66,6
1.77E+13,29.1190028,-91.2312278,98,15187.83,15940,752.17,396,0.259,15,6
6.08E+13,27.7319191,-91.540305,731,10364.76,11234,869.24,456,0.239,1694,4
6.08E+13,27.8185977,-88.9200938,81,20948.08,21622,673.92,353,0.182,4785,11
1.77E+13,29.0568096,-92.4516972,128,1808.92,3188,1379.08,672,0.494,77,6
6.08E+13,27.9661769,-88.6781411,75,15029.98,17600,2570.02,1236,0.191,6505,11
1.77E+13,29.2116276,-91.5952452,174,14255.37,14424,168.63,81,0.155,20,6
1.77E+13,29.1921862,-92.6253663,104,12037.3,13010.1,972.8,466,0.126,68,6
4.27E+13,28.52008,-94.838942,107,1117.47,2155,1037.53,493.6,0.36,114,14
1.77E+13,29.1571603,-92.6065207,74,3402.39,8013.7,4611.31,2186,0.426,70,6
1.77E+13,28.945861,-90.646345,141,12179.99,13904,1724.01,814.3,0.243,37,8
1.77E+13,28.467625,-91.820562,95,3292.78,3405,112.22,52,0.325,176,9
6.08E+13,27.9463369,-91.6466202,94,3282.1,7110,3827.9,1767,0.322,622,4
6.08E+13,28.237733,-88.7737539,77,9223.84,9471,247.16,114,0.391,5376,2
1.77E+13,27.96853,-92.644197,61,3466.84,4610,1143.16,515.3,0.32,435,9
6.08E+13,26.2081826,-91.4432328,66,26668.18,28166,1497.82,672,0.292,6959,11
6.08E+13,27.9389152,-91.6471892,100,2138.17,10344.88,8206.71,3629,0.3,670,4
1.77E+13,29.2701888,-91.5904601,50,4490.95,12065,7574.05,3328,0.268,14,6
1.77E+13,28.9797303,-91.0192957,81,4671.1,11766,7094.9,3104,0.281,28,6
1.77E+13,29.2977988,-91.7289121,67,3465.11,10820,7354.89,3195,0.313,15,6
6.08E+13,27.9463209,-91.6465982,58,5484.03,5587.27,103.24,44,0.449,622,4
1.77E+13,29.0984845,-91.0498256,57,13908.57,13970.35,61.78,26,0.32,9,6
6.08E+13,27.364676,-90.180154,55,11880.09,13244.77,1364.68,560.2,0.29,4320,12
1.77E+13,28.9542511,-90.9743584,50,3239.6,4502.37,1262.77,506,0.359,30,6
6.08E+13,27.9413281,-91.637788,152,4236.98,7995.66,3758.68,1492,0.308,717,4
1.77E+13,29.2385447,-91.692458,79,5287.63,8765,3477.37,1376,0.314,17,6
6.08E+13,27.9326148,-91.1683418,65,3217.44,4462,1244.56,490,0.378,706,4
6.08E+13,27.2505333,-90.0337646,127,17575.79,18444,868.21,333,0.281,5405,11
1.77E+13,28.631976,-91.028932,63,3567.22,10448,6880.78,2630,0.338,62,7
1.77E+13,28.9550191,-90.9604,65,4392.45,8276,3883.55,1480,0.377,30,6
6.08E+13,26.112677,-92.058627,125,17293.99,19865,2571.01,973.5,0.285,7103,19
1.77E+13,28.401183,-91.287312,60,3959.06,4910.16,951.1,359.4,0.348,180,9
1.77E+13,29.0975654,-91.2631507,50,3962.33,12129,8166.67,3078,0.281,18,6
6.08E+13,27.9407618,-90.7859671,87,2354.67,3836,1481.33,556,0.471,1225,4
6.08E+13,28.1785988,-89.2216154,204,16436.1,17452,1015.9,380,0.216,2956,2
6.08E+13,26.2980486,-91.0932063,124,25428.9,27890.43,2461.53,911,0.292,7040,11
1.77E+13,28.8835315,-91.9387455,110,16572.59,16755.2,182.61,67,0.31,81,6
1.77E+13,28.244305,-91.457296,104,2016.42,3822.14,1805.72,662,0.353,255,9
6.08E+13,27.084289,-90.794342,86,27220.94,27831.48,610.54,223.1,0.244,5260,12
1.77E+13,29.018426,-89.633335,112,7427.49,10045,2617.51,938.4,0.296,80,5
1.77E+13,29.576985,-88.874527,81,3168.15,4256,1087.85,385.5,0.323,37,21
4.27E+13,28.477852,-94.756384,74,1650.33,2908,1257.67,444.7,0.423,126,14
1.77E+13,29.2480106,-91.4719197,57,14474.13,15220.3,746.17,263,0.242,13,6
6.08E+13,26.7425945,-90.4846048,62,25242.22,27826,2583.78,905,0.242,8143,11
6.08E+13,27.8893836,-90.6096132,80,5173.29,6758,1584.71,550,0.344,1860,4
4.27E+13,29.259504,-94.420679,100,2765.94,14661,11895.06,4127,0.27,48,17
6.08E+13,27.6988311,-90.2805388,85,11342.78,13879,2536.22,875,0.37,3226,4
6.08E+13,26.7425945,-90.4846048,162,24633.09,26602,1968.91,675,0.301,8143,11
6.08E+13,28.1697891,-89.2228694,131,11748.61,18566.5,6817.89,2322,0.214,2945,2
1.77E+13,28.8893331,-92.1482074,148,8003.61,10129.7,2126.09,719,0.278,87,6
6.08E+13,28.2013232,-88.7661086,51,6175.11,14006.7,7831.59,2619,0.404,5639,2
4.27E+13,27.638271,-96.234769,567,7848.04,11887,4038.96,1338.9,0.164,305,17
6.08E+13,28.0155231,-91.0354722,56,7602.72,9321,1718.28,569,0.207,446,4
1.77E+13,29.0658016,-92.1849287,85,4090.5,10830,6739.5,2221,0.416,57,6
1.77E+13,28.080907,-91.875997,97,3627.69,4171.91,544.22,178.8,0.26,315,9
6.08E+13,27.9007204,-91.641419,167,2561.32,8439,5877.68,1916,0.278,922,4
6.08E+13,27.7796453,-90.5191785,55,11703.12,12328.2,625.08,202,0.433,2590,4
4.27E+13,29.313535,-94.218845,79,7974.19,9055,1080.81,348.2,0.24,45,15
1.77E+13,29.2531092,-91.6726234,351,5081.13,12264,7182.87,2306,0.343,20,6
1.77E+13,28.9673873,-92.5023335,65,13738.78,15749.54,2010.76,629,0.125,87,6
6.08E+13,27.7953827,-90.6476861,268,14440.28,18156.3,3716.02,1161,0.317,2978,4
6.08E+13,28.016561,-89.4311502,51,10437.08,12818,2380.92,742,0.248,3797,2
6.08E+13,28.0335836,-89.100645,78,5849.39,12736.4,6887.01,2142,0.452,4000,2
6.08E+13,26.2418827,-90.9856463,148,26361.61,29114,2752.39,854,0.22,7591,11
1.77E+13,28.8591623,-91.8597383,163,5195.34,14228.5,9033.16,2800,0.309,85,6
6.08E+13,28.1828667,-89.207506,176,13934.24,18348,4413.76,1366,0.248,3170,2
1.77E+13,28.596433,-91.961393,95,3680.78,6900,3219.22,992.8,0.321,140,7
1.77E+13,29.655897,-93.53651,61,6573.56,9781,3207.44,974.2,0.325,36,15
6.08E+13,28.2591032,-89.2803341,79,15173.46,19932.1,4758.64,1444,0.3,2828,2
6.08E+13,27.0989324,-90.1731184,111,17133.66,19042,1908.34,574,0.341,7460,11
1.77E+13,29.0689041,-92.5068808,175,5474.35,6915.3,1440.95,433,0.318,77,6
4.27E+13,26.910091,-97.072584,115,1333.39,8214.43,6881.04,2052.8,0.28,115,17
6.08E+13,27.8624435,-90.5392252,93,10931.98,12172.85,1240.87,369,0.277,2046,4
6.08E+13,28.1696841,-89.2229765,50,15004.54,18856.03,3851.49,1144,0.228,2945,2
6.08E+13,28.0041915,-89.1660168,355,22536.15,26476,3939.85,1162,0.2401,4038,2
1.77E+13,28.9351063,-92.5340574,52,13504.86,14161.6,656.74,193,0.308,93,6
1.77E+13,28.86312,-89.403504,88,3804.83,6096.43,2291.6,670.6,0.284,143,5
1.77E+13,28.9030323,-92.4889821,80,3435.38,11915,8479.62,2479,0.338,95,6
6.08E+13,28.1697851,-89.2229725,136,14958.71,17058,2099.29,611,0.322,2945,2
1.77E+13,28.756496,-93.415009,61,2314.38,3719,1404.62,405.4,0.356,93,10
6.08E+13,27.8272173,-91.1192064,54,2393.36,6549.77,4156.41,1199,0.248,1315,4
1.77E+13,28.8776617,-91.9155259,124,7635.65,12910.13,5274.48,1516,0.257,80,6
6.08E+13,27.5621004,-87.7403237,137,15368.83,17594,2225.17,629,0.332,9179,11
6.08E+13,27.9374858,-90.8859769,223,6179.93,9432.05,3252.12,918,0.188,1296,4
1.77E+13,29.0737049,-91.5622031,70,14118.01,15143,1024.99,289,0.246,28,6
6.08E+13,27.8353763,-90.6294887,62,11777.91,13571.88,1793.97,505,0.297,2680,4
1.77E+13,29.2705137,-91.6901289,126,3104.05,13687.72,10583.67,2979,0.152,19,6
6.08E+13,28.4447055,-87.8989733,75,21992.2,25012.8,3020.6,848,0.202,7625,2
6.08E+13,27.8181391,-91.6729898,73,3605.98,4187,581.02,163,0.109,1180,4
1.77E+13,29.2272321,-91.6031514,69,8646.68,11972,3325.32,932,0.287,30,6
6.08E+13,27.2237502,-90.0167801,57,14261.63,17051,2789.37,761,0.342,6612,11
6.08E+13,26.3051264,-91.0864321,64,19556.9,23418,3861.1,1053,0.258,7016,11
6.08E+13,27.1885783,-90.2690221,107,17885.31,20906,3020.69,820,0.229,4420,11
1.77E+13,28.669728,-89.393456,139,5651.07,10464.22,4813.15,1302.9,0.362,450,3
1.77E+13,29.067302,-91.699911,716,5205.88,11490.5,6284.62,1679,0.382,22,6
6.08E+13,27.018592,-90.4251243,103,10461.53,12404.32,1942.79,515,0.389,6647,11
1.77E+13,29.0990504,-92.3193615,65,4997.22,10260,5262.78,1389,0.352,60,6
1.77E+13,28.469437,-93.451961,78,2444.5,6154,3709.5,973.7,0.381,155,10
6.08E+13,28.1698091,-89.2230435,53,7205.52,13078.22,5872.7,1538,0.333,2945,2
1.77E+13,29.2801924,-91.7089035,55,4603.06,12236.4,7633.34,1986,0.309,15,6
6.08E+13,27.8497898,-88.4476056,80,12781.58,15893.52,3111.94,808,0.387,7716,11
6.08E+13,27.6258423,-87.5526185,439,16032.86,20846,4813.14,1235,0.4,9086,11
6.08E+13,28.7011763,-87.9298422,157,8445.75,12594,4148.25,1060,0.332,6997,2
6.08E+13,27.3537699,-89.867311,76,14884.95,20153,5268.05,1326,0.358,5995,11
6.08E+13,26.7439624,-90.493057,96,9117.01,26494,17376.99,4369,0.291,8160,11
6.08E+13,27.2040577,-90.2474965,52,15555.91,20680.61,5124.7,1288,0.317,4317,11
1.77E+13,29.1512883,-91.7597338,155,3525.09,12898,9372.91,2351,0.307,22,6
6.08E+13,28.4529513,-87.6070341,90,9098.23,20740,11641.77,2911,0.525,8169,2
6.08E+13,27.3483611,-89.8161856,90,15414.11,17772,2357.89,589,0.319,6213,11
6.08E+13,28.7263454,-88.597002,53,10443.58,11632.56,1188.98,296,0.368,3290,2
6.08E+13,27.8624435,-90.5392252,139,9551.43,11758,2206.57,546,0.451,2046,4
1.77E+13,29.0873206,-92.5053488,53,3379.75,10025,6645.25,1643,0.291,73,6
1.77E+13,28.8780211,-92.4771877,57,9596.4,10448,851.6,210,0.279,98,6
6.08E+13,28.0467601,-89.0750832,59,4684.96,19045.47,14360.51,3537,0.364,3957,2
1.77E+13,29.1134419,-91.2880344,58,9055.11,12576,3520.89,866,0.261,18,6
1.77E+13,29.139296,-92.989549,129,4743.6,9347,4603.4,1127.93,0.358,70,7
6.08E+13,26.066228,-92.026007,84,19253.91,21015,1761.09,431.1,0.249,7316,19
1.77E+13,28.834996,-89.521815,153,5229.77,6922.54,1692.77,414.3,0.317,223,5
1.77E+13,28.8655691,-91.8631774,62,4956.54,13654.5,8697.96,2119,0.196,82,6
6.08E+13,28.0298468,-90.7960055,56,7947.32,10455.15,2507.83,609,0.318,666,4
4.27E+13,27.719461,-96.71399,231,4603.64,9483,4879.36,1179.8,0.223,108,17
1.77E+13,29.1746027,-92.6211532,70,3092.51,9695,6602.49,1593,0.393,65,6
6.08E+13,28.3457177,-87.7150481,68,14130.8,17131,3000.2,723,0.335,8087,2
6.08E+13,26.2076786,-91.4427088,154,25515.96,28171.87,2655.91,640,0.294,6965,11
1.77E+13,29.2531092,-91.6726234,144,11244.17,14670.2,3426.03,821,0.228,20,6
1.77E+13,29.2227941,-91.6963441,63,15872.42,18619.35,2746.93,652,0.094,19,6
1.77E+13,29.1406717,-92.6656644,72,10164.9,12510,2345.1,554,0.196,66,6
1.77E+13,28.481678,-91.537093,132,1166.23,11510.53,10344.3,2441,0.27,165,7
6.08E+13,26.9734806,-90.3376089,96,8472.5,17429,8956.5,2112,0.361,7729,11
6.08E+13,28.1636137,-90.3589143,75,9729.49,10140.12,410.63,96,0.219,481,4
1.77E+13,28.470963,-92.173793,247,2877.52,3950,1072.48,250,0.326,177,7
6.08E+13,27.228339,-90.0328926,57,15831.89,18067.01,2235.12,514,0.3214,6683,11
6.08E+13,28.241199,-88.4678703,135,15122.48,22167.2,7044.72,1610,0.309,5712,2
6.08E+13,28.1906166,-88.495387,66,17515.33,21750,4234.67,959,0.336,6050,2
1.77E+13,28.921002,-92.2270357,182,10925.71,14059,3133.29,701,0.159,87,6
1.77E+13,29.2605272,-91.4605204,252,14771.8,16616.1,1844.3,411,0.113,11,6
6.08E+13,27.669888,-90.360964,61,9961.93,13915.44,3953.51,876,0.391,3290,4
